Index;Price;Host Since;Host Response Rate;Host Verifications;Neighbourhood Group Cleansed;Longitude;Room Type;Accommodates;Bathrooms;Bedrooms;Amenities;Security Deposit;Cleaning Fee;Guests Included;Extra People;Availability 30;Number of Reviews;Review Scores Rating;Review Scores Accuracy;Review Scores Cleanliness;Review Scores Checkin;Review Scores Communication;Review Scores Location;Review Scores Value;Cancellation Policy;Calculated host listings count;Reviews per Month;Features
5568;117.0;4;100.0;6;47.468992248062015;-3.704139638090033;80.1381671466533;6;2.0;3.0;24;250.0;30.0;3;15;6;18;96.0;10.0;10.0;10.0;10.0;9.0;9.0;58.728428701180746;1.0;2.07;5
11405;17.0;5;88.0;4;34.44303797468354;-3.735848152094038;32.38965911831498;2;0.5;1.0;11;120.0;7.0;1;10;0;10;82.0;8.0;8.0;9.0;8.0;6.0;7.0;65.22549019607843;3.0;0.52;5
5849;70.0;5;96.04274307186472;4;45.333333333333336;-3.5884486698084124;80.1381671466533;2;1.0;1.0;16;100.0;0.0;1;0;0;3;100.0;10.0;10.0;10.0;10.0;10.0;10.0;58.728428701180746;1.0;0.13;4
8396;50.0;4;90.0;2;74.76748971193416;-3.672058855202186;80.1381671466533;4;1.0;2.0;15;0.0;0.0;1;0;19;0;92.07111806642322;9.45682451253482;9.377828054298643;9.656794425087108;9.676700887419523;9.550540257929592;9.274708035558655;50.39969226382209;1.0;2.1509986225895266;3
8422;59.0;4;100.0;6;68.8821138211382;-3.679595815275308;80.1381671466533;4;1.0;1.0;15;190.0;20.0;2;20;7;22;99.0;10.0;10.0;10.0;10.0;10.0;10.0;65.22549019607843;1.0;3.11;4
5901;285.0;5;100.0;5;64.56904097353802;-3.7111813534145424;80.1381671466533;6;2.0;2.0;21;200.0;50.0;1;0;0;0;92.07111806642322;9.45682451253482;9.377828054298643;9.656794425087108;9.676700887419523;9.550540257929592;9.274708035558655;65.22549019607843;1.0;2.1509986225895266;2
3234;39.0;5;95.0;4;47.468992248062015;-3.701022771193148;32.38965911831498;2;1.0;1.0;16;0.0;0.0;1;10;0;52;96.0;10.0;10.0;10.0;10.0;10.0;10.0;58.728428701180746;2.0;3.87;3
13532;60.0;7;100.0;3;60.31679389312977;-3.704433567818728;80.1381671466533;3;1.0;1.0;11;0.0;20.0;1;0;0;1;100.0;10.0;10.0;10.0;10.0;10.0;10.0;50.39969226382209;1.0;1.0;2
11219;74.0;5;100.0;4;60.31679389312977;-3.7054075414420407;80.1381671466533;4;1.0;2.0;17;450.0;30.0;2;12;4;45;99.0;10.0;10.0;10.0;10.0;10.0;10.0;65.22549019607843;2.0;2.94;4
9101;99.0;4;100.0;7;35.191964285714285;-3.7387741700359376;25.857142857142858;8;1.5;1.0;22;0.0;20.0;1;0;11;2;80.0;8.0;9.0;8.0;9.0;6.0;6.0;58.728428701180746;16.0;0.33;4
4570;25.0;4;92.0;7;64.56904097353802;-3.707479803801964;32.38965911831498;1;1.0;1.0;9;0.0;5.0;1;0;0;2;80.0;8.0;7.0;10.0;10.0;8.0;8.0;65.22549019607843;2.0;0.71;5
8071;200.0;7;100.0;5;64.56904097353802;-3.699454699630385;80.1381671466533;14;2.0;5.0;22;300.0;50.0;1;0;14;27;97.0;10.0;9.0;10.0;10.0;10.0;9.0;65.22549019607843;10.0;1.99;3
5819;30.0;4;96.04274307186472;2;37.21951219512195;-3.650100988752989;32.38965911831498;1;1.0;1.0;5;0.0;0.0;1;0;30;1;92.07111806642322;9.45682451253482;9.377828054298643;9.656794425087108;9.676700887419523;9.550540257929592;9.274708035558655;50.39969226382209;2.0;0.18;2
11593;80.0;6;100.0;7;59.78174928572369;-3.727718723398726;80.1381671466533;4;1.0;1.0;18;100.0;30.0;1;0;15;22;87.0;9.0;9.0;8.0;9.0;8.0;9.0;58.728428701180746;18.0;1.76;5
5442;25.0;8;96.04274307186472;4;74.76748971193416;-3.6763953880613554;32.38965911831498;2;1.0;1.0;13;0.0;0.0;1;5;0;46;100.0;10.0;10.0;10.0;10.0;10.0;10.0;50.39969226382209;1.0;2.27;4
6290;108.0;7;75.0;3;45.333333333333336;-3.601587159683424;80.1381671466533;6;2.0;2.0;13;100.0;10.0;4;15;20;1;100.0;10.0;10.0;10.0;10.0;10.0;10.0;58.728428701180746;1.0;0.18;2
11632;20.0;4;100.0;5;35.191964285714285;-3.7559390188313313;32.38965911831498;2;1.5;1.0;10;0.0;0.0;1;0;21;21;90.0;9.0;10.0;9.0;10.0;8.0;9.0;58.728428701180746;3.0;1.43;3
5276;30.0;7;99.0;3;33.57142857142857;-3.6873828441798935;32.38965911831498;4;1.0;1.0;16;0.0;0.0;3;10;18;3;100.0;10.0;9.0;10.0;10.0;10.0;9.0;65.22549019607843;8.0;0.26;2
1472;60.0;7;100.0;5;64.56904097353802;-3.6942814447265073;80.1381671466533;4;1.0;1.0;20;0.0;30.0;2;15;7;18;93.0;10.0;9.0;10.0;10.0;10.0;10.0;58.728428701180746;4.0;2.21;5
14104;43.0;4;100.0;3;60.31679389312977;-3.697263528674588;80.1381671466533;2;1.0;0.0;19;0.0;5.0;1;0;1;126;91.0;9.0;10.0;10.0;10.0;10.0;9.0;58.728428701180746;4.0;8.87;4
523;62.0;4;99.0;3;64.56904097353802;-3.7063860280016168;80.1381671466533;6;1.0;2.0;24;0.0;0.0;2;15;5;38;93.0;9.0;9.0;10.0;9.0;10.0;10.0;58.728428701180746;7.0;7.35;3
9288;30.0;5;100.0;3;44.16263736263736;-3.701825423567404;32.38965911831498;2;1.0;1.0;21;0.0;0.0;1;8;13;44;82.0;9.0;9.0;9.0;9.0;9.0;9.0;50.39969226382209;2.0;3.25;3
3452;65.0;5;100.0;3;64.56904097353802;-3.703087862671104;80.1381671466533;8;1.0;3.0;16;490.0;35.0;2;18;7;84;95.0;10.0;10.0;10.0;10.0;10.0;10.0;58.728428701180746;1.0;4.63;2
1102;23.0;5;100.0;3;44.16263736263736;-3.700678350243728;32.38965911831498;2;1.0;1.0;15;0.0;5.0;1;15;24;18;93.0;10.0;10.0;10.0;10.0;9.0;10.0;50.39969226382209;1.0;0.96;3
3173;90.0;3;100.0;3;44.16263736263736;-3.6950659320009858;80.1381671466533;6;1.0;2.0;12;0.0;35.0;4;25;7;6;100.0;10.0;10.0;10.0;10.0;10.0;10.0;58.728428701180746;1.0;3.75;3
8065;27.0;6;100.0;4;64.56904097353802;-3.6998838270892285;32.38965911831498;2;1.0;1.0;22;0.0;0.0;1;0;6;80;96.0;10.0;10.0;10.0;10.0;10.0;10.0;65.22549019607843;3.0;6.09;5
12781;16.0;6;100.0;4;64.56904097353802;-3.6983593390093885;25.857142857142858;1;1.0;1.0;10;100.0;10.0;1;16;30;25;88.0;9.0;9.0;10.0;10.0;9.0;9.0;50.39969226382209;6.0;0.86;5
4004;19.0;3;75.0;3;34.44303797468354;-3.732600986461069;32.38965911831498;2;1.0;1.0;14;0.0;0.0;1;6;9;0;92.07111806642322;9.45682451253482;9.377828054298643;9.656794425087108;9.676700887419523;9.550540257929592;9.274708035558655;50.39969226382209;1.0;2.1509986225895266;2
